media_id,url,name,facebook_page,twitter_handle,entertainment_only,allsides_media_bias_rating,adfontes_bias,adfontes_reliability,https://github.com/hauselin/domain-quality-ratings/blob/main/data/domain_ratings.csv
25,http://www.ocregister.com/,Orange County Register,https://www.facebook.com/ocregister,ocregister,0,Lean Right,-1.33,48.02,
26,http://www.sacbee.com/,Sac Bee,https://www.facebook.com/sacramentobee,sacbee_news,0,Lean Left,-8.71,45.03,
27,http://www.stltoday.com/,St. Louis Post Dispatch,https://www.facebook.com/STLPD,stltoday,0,Center,-8.57,44.73,
30,http://www.kansascity.com/,Kansas City Star,https://www.facebook.com/kansascitystar,KCStar,0,,-6.26,43.28,
31,http://www.denverpost.com/,The Denver Post,https://www.facebook.com/denverpost,denverpost,0,,-3.12,45.99,
33,http://www.mysanantonio.com/,San Antonio Express News,https://www.facebook.com/SAExpressNews,ExpressNews,0,Center,,,
34,http://www.baltimoresun.com/,Baltimore Sun,https://www.facebook.com/baltimoresun,baltimoresun,0,Center,-5.4,45.98,
35,http://www.mercurynews.com/,San Jose Mercury News,https://www.facebook.com/mercurynews,mercnews,0,Lean Left,-3.67,45.54,
36,http://www.jsonline.com/,Milwaukee Journal Sentinel,https://www.facebook.com/journalsentinel,journalsentinel,0,Center,-7.47,47.05,
38,http://www.orlandosentinel.com/,Orlando Sentinel,https://www.facebook.com/orlandosentinel,orlandosentinel,0,Center,-7.18,44.99,
39,http://www.sun-sentinel.com/,South Florida Sun-Sentinel,https://www.facebook.com/sunsentinel,SunSentinel,0,,-6.04,44.12,
41,http://www.dispatch.com/,Columbus Dispatch,https://www.facebook.com/columbusdispatch,DispatchAlerts,0,Center,5.49,40.99,
45,http://www.post-gazette.com/,Pittsburgh Post-Gazette,https://www.facebook.com/pittsburghpostgazette,PittsburghPG,0,Center,-0.55,48.17,
