state,chamber,name,party_abb,twitter_handle,instagram_handle,Instagram_URL,List
Ohio 9th District,U.S. Representative,"Kaptur, Marcy",D,RepMarcyKaptur,repmarcykaptur,https://www.instagram.com/repmarcykaptur,congress2022
Ohio 10th District,U.S. Representative,"Turner, Michael",R,RepMikeTurner,repmiketurner,https://www.instagram.com/repmiketurner,congress2022
Ohio 11th District,U.S. Representative,"Brown, Shontel",D,ShontelMBrown,repshontel,https://www.instagram.com/repshontel,congress2022
Ohio 12th District,U.S. Representative,"Balderson, Troy",R,RepBalderson,troy_balderson,https://www.instagram.com/troy_balderson,congress2022
Ohio 13th District,U.S. Representative,"Ryan, Tim",D,RepTimRyan,reptimryan,https://www.instagram.com/reptimryan,congress2022
Ohio 14th District,U.S. Representative,"Joyce, David",R,RepDaveJoyce,repdavejoyce,https://www.instagram.com/repdavejoyce,congress2022
Ohio 15th District,U.S. Representative,"Carey, Mike",R,MikeCareyOH15,careyforcongress,https://www.instagram.com/careyforcongress,congress2022
Ohio 16th District,U.S. Representative,"Gonzalez, Anthony",R,RepAGonzalez,repagonzalez,https://www.instagram.com/repagonzalez,congress2022
Oklahoma,U.S. Senator,"Lankford, James",R,SenatorLankford,senatorlankford,https://www.instagram.com/senatorlankford,congress2022
Oklahoma,U.S. Senator,"Inhofe, Jim",R,InhofePress,jiminhofe,https://www.instagram.com/jiminhofe,congress2022
Oklahoma 1st District,U.S. Representative,"Hern, Kevin",R,RepKevinHern,kevinrhern,https://www.instagram.com/kevinrhern,congress2022
Oklahoma 2nd District,U.S. Representative,"Mullin, Markwayne",R,RepMullin,markwaynemullin,https://www.instagram.com/markwaynemullin,congress2022
Oklahoma 3rd District,U.S. Representative,"Lucas, Frank",R,RepFrankLucas,repfranklucas,https://www.instagram.com/repfranklucas,congress2022
Oklahoma 4th District,U.S. Representative,"Cole, Tom",R,TomColeOK04,tomcoleok04,https://www.instagram.com/tomcoleok04,congress2022
Oklahoma 5th District,U.S. Representative,"Bice, Stephanie",R,stephaniebice,stephaniebice,https://www.instagram.com/stephaniebice,congress2022
Oregon,U.S. Senator,"Wyden, Ron",D,RonWyden,ronwyden,https://www.instagram.com/ronwyden,congress2022
Oregon,U.S. Senator,"Merkley, Jeff",D,SenJeffMerkley,senjeffmerkley,https://www.instagram.com/senjeffmerkley,congress2022
Oregon 1st District,U.S. Representative,"Bonamici, Suzanne",D,RepBonamici,repbonamic,https://www.instagram.com/repbonamic,congress2022
Oregon 2nd District,U.S. Representative,"Bentz, Cliff",R,RepBentz,,,
Oregon 3rd District,U.S. Representative,"Blumenauer, Earl",D,repblumenauer,repblumenauer,https://www.instagram.com/repblumenauer,congress2022
Oregon 4th District,U.S. Representative,"DeFazio, Peter",D,RepPeterDeFazio,defazio4oregon,https://www.instagram.com/defazio4oregon,congress2022
Oregon 5th District,U.S. Representative,"Schrader, Kurt",D,RepSchrader,,,
Pennsylvania,U.S. Senator,"Toomey, Patrick",R,SenToomey,senpattoomey,https://www.instagram.com/senpattoomey,congress2022
Pennsylvania,U.S. Senator,"Casey, Bob Jr.",D,SenBobCasey,senbobcasey,https://www.instagram.com/senbobcasey,congress2022
Pennsylvania 1st District,U.S. Representative,"Fitzpatrick, Brady",R,RepBrianFitz,repbrianfitz,https://www.instagram.com/repbrianfitz,congress2022
Pennsylvania 2nd District,U.S. Representative,"Boyle, Brendan",D,CongBoyle,congressmanboyle,https://www.instagram.com/congressmanboyle,congress2022
Pennsylvania 3rd District,U.S. Representative,"Evans, Dwight",D,RepDwightEvans,repdwightevans,https://www.instagram.com/repdwightevans,congress2022
Pennsylvania 4th District,U.S. Representative,"Dean, Madeleine",D,RepDean,repmadeleinedean,https://www.instagram.com/repmadeleinedean,congress2022
Pennsylvania 5th District,U.S. Representative,"Scanlon, Mary-Gay",D,RepMGS,repmgs,https://www.instagram.com/repmgs,congress2022
Pennsylvania 6th District,U.S. Representative,"Houlahan, Chrissy",D,RepHoulahan,repchrissyhoulahan,https://www.instagram.com/repchrissyhoulahan,congress2022
Pennsylvania 7th District,U.S. Representative,"Wild, Susan",D,RepSusanWild,repsusanwild,https://www.instagram.com/repsusanwild,congress2022
Pennsylvania 8th District,U.S. Representative,"Cartwright, Matt",D,RepCartwright,repmattcartwright,https://www.instagram.com/repmattcartwright,congress2022
Pennsylvania 9th District,U.S. Representative,"Meuser, Daniel",R,RepMeuser,repmeuser,https://www.instagram.com/repmeuser,congress2022
Pennsylvania 10th District,U.S. Representative,"Perry, Scott",R,RepScottPerry,repscottperry,https://www.instagram.com/repscottperry,congress2022
Pennsylvania 11th District,U.S. Representative,"Smucker, Lloyd",R,RepLloyd,rep.smucker,https://www.instagram.com/rep.smucker,congress2022
Pennsylvania 12th District,U.S. Representative,"Keller, Fred",R,RepFredKelle,repfredkelle,https://www.instagram.com/repfredkelle,congress2022
Pennsylvania 13th District,U.S. Representative,"Joyce, John",R,RepJohnJoyce,johnjoycepa13,https://www.instagram.com/johnjoycepa13,congress2022
Pennsylvania 14th District,U.S. Representative,"Reschenthaler, Guy",R,GReschenthaler,guyreschenthaler,https://www.instagram.com/guyreschenthaler,congress2022
Pennsylvania 15th District,U.S. Representative,"Thompson, Glenn",R,CongressmanGT,congressman_gt,https://www.instagram.com/congressman_gt,congress2022
Pennsylvania 16th District,U.S. Representative,"Kelly, Mike",R,MikeKellyforPA,mikekellyforcongress,https://www.instagram.com/mikekellyforcongress,congress2022
Pennsylvania 17th District,U.S. Representative,"Lamb, Conor",D,RepConorLamb,conorlamb_pa,https://www.instagram.com/conorlamb_pa,congress2022
Pennsylvania 18th District,U.S. Representative,"Doyle, Michael",D,USRepMikeDoyle,usrepmikedoyle,https://www.instagram.com/usrepmikedoyle,congress2022
Rhode Island,U.S. Senator,"Whitehouse, Sheldon",D,SenWhitehouse,senwhitehouse,https://www.instagram.com/senwhitehouse,congress2022
Rhode Island,U.S. Senator,"Reed, Jack",D,SenJackReed,,,
Rhode Island 1st District,U.S. Representative,"Cicilline, David",D,RepCicilline,repdavidcicilline,https://www.instagram.com/repdavidcicilline,congress2022
Rhode Island 2nd District,U.S. Representative,"Langevin, Jim",D,jimlangevin,repdavidcicilline,https://www.instagram.com/repdavidcicilline,congress2022
South Carolina,U.S. Senator,"Scott, Tim",R,SenatorTimScott,senatortimscott,https://www.instagram.com/senatortimscott,congress2022
South Carolina,U.S. Senator,"Graham, Lindsey",R,LindsayGrahamSC,lindseygrahamsc,https://www.instagram.com/lindseygrahamsc,congress2022
South Carolina 1st District,U.S. Representative,"Mace, Nancy",R,NancyMace,nancyrmace,https://www.instagram.com/nancyrmace,congress2022
South Carolina 2nd District,U.S. Representative,"Wilson, Joe",R,RepJoeWilson,repjoewilson,https://www.instagram.com/repjoewilson,congress2022
South Carolina 3rd District,U.S. Representative,"Duncan, Jeff",R,RepJeffDuncan,repjeffduncan,https://www.instagram.com/repjeffduncan,congress2022
South Carolina 4th District,U.S. Representative,"Timmons, William",R,RepTimmons,reptimmons,https://www.instagram.com/reptimmons,congress2022
South Carolina 5th District,U.S. Representative,"Norman, Ralph",R,RepRalphNorman,repralphnorman,https://www.instagram.com/repralphnorman,congress2022
South Carolina 6th District,U.S. Representative,"Clyburn, James E.",D,WhipClyburn,whipclyburn,https://www.instagram.com/whipclyburn,congress2022
South Carolina 7th District,U.S. Representative,"Rice, Tom",R,RepTomRice,reptomrice,https://www.instagram.com/reptomrice,congress2022
South Dakota,U.S. Senator,"Thune, John",R,SenJohnThune,senjohnthune,https://www.instagram.com/senjohnthune,congress2022
South Dakota,U.S. Senator,"Rounds, Mike",R,SenatorRounds,,,
South Dakota At-Large,U.S. Representative,"Johnson, Dusty",R,RepDustyJohnson,repdustyjohnson,https://www.instagram.com/repdustyjohnson,congress2022
Tennessee,U.S. Senator,"Blackburn, Marsha",R,MarshaBlackburn,marshablackburn,https://www.instagram.com/marshablackburn,congress2022
Tennessee,U.S. Senator,"Hagerty, Bill",R,BillHagertyTN,billhagertyTN,https://www.instagram.com/billhagertyTN,congress2022
Tennessee 1st District,U.S. Representative,"Harshbarger, Diana",R,DHarshbargerTN1,dianaforcongress,https://www.instagram.com/dianaforcongress,congress2022
Tennessee 2nd District,U.S. Representative,"Burchett, Tim",R,RepTimBurchett,reptimburchett,https://www.instagram.com/reptimburchett,congress2022
Tennessee 3rd District,U.S. Representative,"Fleischmann, Chuck",R,RepChuck,repchuck,https://www.instagram.com/repchuck,congress2022
Tennessee 4th District,U.S. Representative,"DesJarlais, Scott",R,DesJarlaisTN04,desjarlaistn04,https://www.instagram.com/desjarlaistn04,congress2022
Tennessee 5th District,U.S. Representative,"Cooper, Jim",D,repjimcooper,repjimcooper,https://www.instagram.com/repjimcooper,congress2022
Tennessee 6th District,U.S. Representative,"Rose, John W.",R,RepJohnRose,repjohnrose,https://www.instagram.com/repjohnrose,congress2022
Tennessee 7th District,U.S. Representative,"Green, Mark",R,RepMarkGreen,drmarkgreen4tn,https://www.instagram.com/drmarkgreen4tn,congress2022
Tennessee 8th District,U.S. Representative,"Kustoff, David",R,DavidKustoff,repdavidkustoff,https://www.instagram.com/repdavidkustoff,congress2022
Tennessee 9th District,U.S. Representative,"Cohen, Steve",D,RepCohen,repcohen,https://www.instagram.com/repcohen,congress2022
Texas,U.S. Senator,"Cruz, Ted",R,SenTedCruz,sentedcruz,https://www.instagram.com/sentedcruz,congress2022
Texas,U.S. Senator,"Cornyn, John",R,JohnCornyn,johncornyn,https://www.instagram.com/johncornyn,congress2022
Texas 1st District,U.S. Representative,"Gohmert, Louie",R,replouiegohmert,replouiegohmert,https://www.instagram.com/replouiegohmert,congress2022
Texas 2nd District,U.S. Representative,"Crenshaw, Dan",R,RepDanCrenshaw,dancrenshawtx,https://www.instagram.com/dancrenshawtx,congress2022
Texas 3rd District,U.S. Representative,"Taylor, Van",R,RepVanTaylor,repvantaylor,https://www.instagram.com/repvantaylor,congress2022
Texas 4th District,U.S. Representative,"Fallon, Pat",R,FallonForTexas,,,
Texas 5th District,U.S. Representative,"Gooden, Lance",R,Lancegooden,replancegooden,https://www.instagram.com/replancegooden,congress2022
Texas 6th District,U.S. Representative,"Ellzey, Jake",R,JakeEllzey,commanderellzey,https://www.instagram.com/commanderellzey,congress2022
Texas 7th District,U.S. Representative,"Fletcher, Lizzie",D,RepFletcher,repfletcher,https://www.instagram.com/repfletcher,congress2022
Texas 8th District,U.S. Representative,"Brady, Kevin",R,RepKevinBrady,repkevinbrady,https://www.instagram.com/repkevinbrady,congress2022
Texas 9th District,U.S. Representative,"Green, Al",D,RepAlGreen,repalgreen,https://www.instagram.com/repalgreen,congress2022
Texas 10th District,U.S. Representative,"McCaul, Michael T.",R,RepMcCaul,congressman_mccau,https://www.instagram.com/congressman_mccau,congress2022
Texas 11th District,U.S. Representative,"Pfluger, August",R,AugustPfluger,augustpflugertx,https://www.instagram.com/augustpflugertx,congress2022
Texas 12th District,U.S. Representative,"Granger, Kay",R,RepKayGranger,repkaygranger,https://www.instagram.com/repkaygranger,congress2022
Texas 13th District,U.S. Representative,"Jackson, Ronny",R,RonnyJacksonTX,ronny.jacksontx,https://www.instagram.com/ronny.jacksontx,congress2022
Texas 14th District,U.S. Representative,"Weber, Randy",R,TXRandy14,txrandy14,https://www.instagram.com/txrandy14,congress2022
Texas 15th District,U.S. Representative,"Gonzalez, Vincente",D,RepGonzalez,repvicentegonzalez,https://www.instagram.com/repvicentegonzalez,congress2022
Texas 16th District,U.S. Representative,"Escobar, Veronica",D,RepEscobar,vgescobar915,https://www.instagram.com/vgescobar915,congress2022
Texas 17th District,U.S. Representative,"Sessions, Pete",R,SessionsTX17,,https://www.instagram.com/,congress2022
Texas 18th District,U.S. Representative,"Jackson Lee, Sheila",D,JacksonLeeTX18,repjacksonlee,https://www.instagram.com/repjacksonlee,congress2022
Texas 19th District,U.S. Representative,"Arrington, Jodey",R,JodeyArrington,repjodeyarrington,https://www.instagram.com/repjodeyarrington,congress2022
